student_id,skill_id,proficiency
S062,"('SK041', 'Excel', 'Data Science')",3
S063,SK021,1
S063,SK023,2
S063,SK019,3
S063,SK028,1
S063,SK020,3
S063,"('SK029', 'Figma', 'Design')",1
S063,"('SK003', 'JavaScript', 'Programming')",3
S064,SK026,2
S064,SK023,1
S064,SK024,1
S064,SK027,4
S064,SK038,3
S064,"('SK033', 'Data Structures', 'Programming')",2
S064,"('SK042', 'Firebase', 'Cloud')",3
S065,SK015,1
S065,SK009,3
S065,SK005,1
S065,SK010,3
S065,SK024,3
S065,"('SK047', 'Prompt Engineering', 'AI')",1
S065,"('SK043', 'REST APIs', 'Web Development')",2
S066,SK024,1
S066,SK023,2
S066,SK028,2
S066,SK026,2
S066,SK027,2
S066,"('SK020', 'Azure', 'Cloud')",1
S066,"('SK012', 'NLP', 'AI')",1
S067,SK022,3
S067,SK024,4
S067,SK043,1
S067,SK019,2
S067,SK023,4
S067,"('SK003', 'JavaScript', 'Programming')",2
S067,"('SK027', 'Ethical Hacking', 'Cybersecurity')",3
S068,SK001,2
S068,SK019,1
S068,SK046,3
S068,SK050,3
S068,SK049,3
S068,"('SK039', 'Statistics', 'Data Science')",3
S068,"('SK009', 'Machine Learning', 'AI')",1
S069,SK023,3
S069,SK019,1
S069,SK021,3
S069,SK022,2
S069,SK043,2
S069,"('SK026', 'Networking', 'Cybersecurity')",1
S069,"('SK033', 'Data Structures', 'Programming')",1
S070,SK018,3
S070,SK001,4
S070,SK039,4
S070,SK041,2
S070,SK005,2
S070,"('SK014', 'TensorFlow', 'AI')",2
S070,"('SK010', 'Deep Learning', 'AI')",1
S071,SK016,2
S071,SK001,1
S071,SK019,2
S071,SK050,2
S071,SK005,4
S071,"('SK010', 'Deep Learning', 'AI')",2
S071,"('SK019', 'AWS', 'Cloud')",1
S072,SK043,1
S072,SK021,4
S072,SK019,3
S072,SK024,3
S072,SK022,2
S072,"('SK016', 'Pandas', 'Data Science')",1
S072,"('SK047', 'Prompt Engineering', 'AI')",2
S073,SK001,3
S073,SK016,4
S073,SK005,3
S073,SK041,2
S073,SK017,3
S073,"('SK003', 'JavaScript', 'Programming')",1
S073,"('SK021', 'Docker', 'DevOps')",3
S074,SK023,3
S074,SK019,1
S074,SK022,4
S074,SK043,2
S074,SK024,2
S074,"('SK024', 'Git', 'Tools')",2
S074,"('SK034', 'Algorithms', 'Programming')",3
S075,SK020,2
S075,SK024,3
S075,SK022,2
S075,SK021,2
S075,SK028,1
S075,"('SK003', 'JavaScript', 'Programming')",1
S075,"('SK047', 'Prompt Engineering', 'AI')",3
S076,SK011,1
S076,SK015,2
S076,SK047,2
S076,SK048,2
S076,SK014,2
S076,"('SK003', 'JavaScript', 'Programming')",1
S076,"('SK039', 'Statistics', 'Data Science')",3
S077,SK047,1
S077,SK005,3
S077,SK009,3
S077,SK010,3
S077,SK048,2
S077,"('SK046', 'PostgreSQL', 'Database')",1
S077,"('SK029', 'Figma', 'Design')",1
S078,SK028,1
S078,SK027,2
S078,SK038,3
S078,SK023,1
S078,SK026,3
S078,"('SK008', 'HTML/CSS', 'Web Development')",3
S078,"('SK013', 'Computer Vision', 'AI')",3
S079,SK019,1
S079,SK046,2
S079,SK001,2
S079,SK049,4
S079,SK016,3
S079,"('SK021', 'Docker', 'DevOps')",2
S079,"('SK042', 'Firebase', 'Cloud')",1
S080,SK021,2
S080,SK024,1
S080,SK020,3
S080,SK028,2
S080,SK022,1
S080,"('SK019', 'AWS', 'Cloud')",3
S080,"('SK006', 'React', 'Web Development')",2
S081,SK001,4
S081,SK014,1
S081,SK011,2
S081,SK005,3
S081,SK047,2
S081,"('SK027', 'Ethical Hacking', 'Cybersecurity')",3
S081,"('SK040', 'Power BI', 'Data Science')",2
S082,SK017,4
S082,SK041,2
S082,SK005,4
S082,SK016,3
S082,SK039,3
S082,"('SK010', 'Deep Learning', 'AI')",1
S082,"('SK021', 'Docker', 'DevOps')",2
S083,SK016,4
S083,SK017,4
S083,SK018,2
S083,SK039,2
S083,SK001,2
S083,"('SK011', 'Generative AI', 'AI')",2
S083,"('SK021', 'Docker', 'DevOps')",3
S084,SK003,2
S084,SK024,1
S084,SK007,3
S084,SK008,2
S084,SK005,2
S084,"('SK019', 'AWS', 'Cloud')",3
S084,"('SK035', 'Blockchain', 'Emerging Tech')",2
S085,SK024,2
S085,SK014,2
S085,SK010,4
S085,SK001,3
S085,SK015,1
S085,"('SK007', 'Node.js', 'Web Development')",1
S085,"('SK026', 'Networking', 'Cybersecurity')",3
S086,SK050,2
S086,SK001,2
S086,SK016,3
S086,SK019,2
S086,SK046,3
S086,"('SK040', 'Power BI', 'Data Science')",2
S086,"('SK021', 'Docker', 'DevOps')",3
S087,SK024,4
S087,SK023,3
S087,SK019,1
S087,SK043,2
S087,SK021,2
S087,"('SK047', 'Prompt Engineering', 'AI')",3
S087,"('SK004', 'C++', 'Programming')",1
S088,SK024,4
S088,SK043,1
S088,SK023,4
S088,SK019,2
S088,SK021,4
S088,"('SK046', 'PostgreSQL', 'Database')",2
S088,"('SK009', 'Machine Learning', 'AI')",3
S089,SK005,4
S089,SK001,1
S089,SK019,2
S089,SK050,3
S089,SK046,2
S089,"('SK050', 'ETL', 'Data Engineering')",2
S089,"('SK019', 'AWS', 'Cloud')",3
S090,SK024,2
S090,SK019,2
S090,SK021,1
S090,SK022,2
S090,SK023,3
S090,"('SK017', 'Scikit-learn', 'Data Science')",3
S090,"('SK048', 'LLMs', 'AI')",2
S091,SK015,1
S091,SK024,2
S091,SK009,4
S091,SK048,2
S091,SK047,2
S091,"('SK001', 'Python', 'Programming')",3
S091,"('SK036', 'IoT', 'Emerging Tech')",1
S092,SK010,2
S092,SK001,2
S092,SK005,1
S092,SK024,2
S092,SK011,3
S092,"('SK012', 'NLP', 'AI')",3
S092,"('SK048', 'LLMs', 'AI')",1
S093,SK021,3
S093,SK020,2
S093,SK022,2
S093,SK028,1
S093,SK023,1
S093,"('SK012', 'NLP', 'AI')",3
S093,"('SK001', 'Python', 'Programming')",3
S094,SK049,3
S094,SK005,3
S094,SK046,3
S094,SK050,4
S094,SK001,3
S094,"('SK049', 'Data Engineering', 'Data Engineering')",1
S094,"('SK018', 'Data Visualization', 'Data Science')",2
S095,SK043,2
S095,SK021,2
S095,SK019,2
S095,SK022,4
S095,SK024,4
S095,"('SK015', 'PyTorch', 'AI')",2
S095,"('SK009', 'Machine Learning', 'AI')",2
S096,SK024,1
S096,SK014,2
S096,SK005,3
S096,SK009,3
S096,SK010,2
S096,"('SK035', 'Blockchain', 'Emerging Tech')",3
S096,"('SK010', 'Deep Learning', 'AI')",1
S097,SK016,1
S097,SK005,4
S097,SK049,2
S097,SK046,1
S097,SK050,3
S097,"('SK001', 'Python', 'Programming')",2
S097,"('SK048', 'LLMs', 'AI')",3
S098,SK016,4
S098,SK017,4
S098,SK039,2
S098,SK018,3
S098,SK005,3
S098,"('SK006', 'React', 'Web Development')",1
S098,"('SK044', 'FastAPI', 'Web Development')",1
S099,SK001,2
S099,SK046,1
S099,SK050,4
S099,SK019,1
S099,SK016,1
S099,"('SK023', 'Linux', 'Systems')",3
S099,"('SK010', 'Deep Learning', 'AI')",2
S100,SK024,2
S100,SK006,2
S100,SK005,3
S100,SK045,2
S100,SK003,4
S100,"('SK009', 'Machine Learning', 'AI')",3
S100,"('SK033', 'Data Structures', 'Programming')",3
