student_id,event_id,status,interaction_score
S031,E002,viewed,1
S031,E010,saved,4
S031,E038,viewed,1
S032,E005,saved,4
S032,E024,viewed,1
S032,E046,viewed,1
S032,E043,completed,10
S032,E026,registered,7
S033,E028,viewed,1
S033,E051,registered,7
S033,E041,saved,4
S033,E032,registered,7
S033,E042,saved,4
S034,E023,viewed,1
S034,E015,viewed,1
S034,E043,saved,4
S034,E038,viewed,1
S034,E053,registered,7
S035,E045,completed,10
S035,E037,viewed,1
S035,E026,saved,4
S035,E055,completed,10
S035,E050,completed,10
S036,E015,saved,4
S036,E041,viewed,1
S036,E037,viewed,1
S036,E007,viewed,1
S036,E060,viewed,1
S037,E041,saved,4
S037,E057,registered,7
S037,E006,viewed,1
S037,E053,viewed,1
S037,E046,viewed,1
S038,E045,viewed,1
S038,E005,viewed,1
S038,E023,viewed,1
S038,E017,registered,7
S038,E051,completed,10
S039,E057,saved,4
S039,E027,viewed,1
S039,E032,saved,4
S039,E025,registered,7
S039,E023,saved,4
S040,E044,registered,7
S040,E015,viewed,1
S040,E011,viewed,1
S040,E029,viewed,1
S040,E005,viewed,1
S041,E022,viewed,1
S041,E011,completed,10
S041,E057,completed,10
S041,E025,viewed,1
S041,E047,completed,10
S042,E058,completed,10
S042,E031,viewed,1
S042,E046,registered,7
S042,E002,viewed,1
S042,E028,viewed,1
S043,E014,registered,7
S043,E013,registered,7
S043,E027,viewed,1
S043,E045,viewed,1
S043,E036,viewed,1
S044,E004,saved,4
S044,E026,viewed,1
S044,E037,viewed,1
S044,E036,viewed,1
S044,E054,registered,7
S045,E041,viewed,1
S045,E039,viewed,1
S045,E031,viewed,1
S045,E013,viewed,1
S045,E007,registered,7
S046,E020,registered,7
S046,E051,viewed,1
S046,E026,saved,4
S046,E031,viewed,1
S046,E032,viewed,1
S047,E025,viewed,1
S047,E024,saved,4
S047,E012,viewed,1
S047,E029,viewed,1
S047,E003,viewed,1
S048,E049,saved,4
S048,E045,registered,7
S048,E043,viewed,1
S048,E007,registered,7
S048,E006,viewed,1
S049,E004,viewed,1
S049,E054,saved,4
S049,E025,registered,7
S049,E053,saved,4
S049,E034,registered,7
S050,E031,registered,7
S050,E020,viewed,1
S050,E006,saved,4
S050,E026,saved,4
S050,E058,saved,4
S051,E040,viewed,1
S051,E010,completed,10
S051,E008,completed,10
S051,E049,registered,7
S051,E029,viewed,1
S052,E028,saved,4
S052,E006,registered,7
S052,E044,viewed,1
S052,E013,completed,10
S052,E053,completed,10
S053,E005,saved,4
S053,E006,registered,7
S053,E025,saved,4
S053,E036,completed,10
S053,E026,viewed,1
S054,E045,viewed,1
S054,E040,viewed,1
S054,E038,viewed,1
S054,E034,saved,4
S054,E051,registered,7
S055,E007,viewed,1
S055,E060,saved,4
S055,E037,viewed,1
S055,E050,viewed,1
S055,E051,viewed,1
S056,E032,viewed,1
S056,E037,viewed,1
S056,E039,saved,4
S056,E031,saved,4
S056,E003,viewed,1
S057,E026,viewed,1
S057,E057,saved,4
S057,E022,viewed,1
S057,E045,viewed,1
S057,E016,viewed,1
S058,E051,registered,7
S058,E020,saved,4
S058,E018,completed,10
S058,E054,viewed,1
S058,E032,viewed,1
S059,E048,viewed,1
S059,E029,viewed,1
S059,E050,saved,4
S059,E053,viewed,1
S059,E021,viewed,1
S060,E053,saved,4
S060,E027,viewed,1
S060,E048,viewed,1
S060,E032,registered,7
S060,E049,viewed,1
S061,E046,registered,7
S061,E033,registered,7
S061,E026,viewed,1
S061,E009,viewed,1
S061,E050,registered,7
S062,E054,viewed,1
S062,E004,viewed,1
S062,E016,viewed,1
S062,E003,viewed,1
S062,E030,saved,4
S063,E026,viewed,1
S063,E041,viewed,1
S063,E060,saved,4
S063,E008,viewed,1
S063,E044,registered,7
S064,E038,registered,7
S064,E036,registered,7
S064,E023,saved,4
S064,E011,viewed,1
S064,E054,viewed,1
S065,E011,registered,7
S065,E055,saved,4
S065,E037,saved,4
S065,E050,viewed,1
S065,E014,viewed,1
S066,E002,saved,4
S066,E056,viewed,1
S066,E050,viewed,1
S066,E044,registered,7
S066,E001,viewed,1
S067,E039,viewed,1
S067,E052,registered,7
S067,E020,registered,7
S067,E046,saved,4
S067,E042,viewed,1
S068,E020,viewed,1
S068,E044,viewed,1
S068,E034,saved,4
S068,E053,saved,4
S068,E040,registered,7
S069,E024,viewed,1
S069,E036,viewed,1
S069,E042,viewed,1
S069,E039,completed,10
S069,E019,saved,4
S070,E056,completed,10
S070,E018,saved,4
S070,E017,viewed,1
S070,E042,saved,4
S070,E046,viewed,1
S071,E004,saved,4
S071,E052,saved,4
S071,E055,registered,7
S071,E039,saved,4
S071,E026,completed,10
S072,E017,registered,7
S072,E059,saved,4
S072,E027,completed,10
S072,E026,registered,7
S072,E025,viewed,1
S073,E046,registered,7
S073,E015,completed,10
S073,E044,saved,4
S073,E035,saved,4
S073,E041,registered,7
S074,E054,viewed,1
S074,E043,saved,4
S074,E057,registered,7
S074,E036,registered,7
S074,E012,saved,4
S075,E059,saved,4
S075,E012,viewed,1
S075,E044,viewed,1
S075,E058,registered,7
S075,E022,viewed,1
S076,E057,viewed,1
S076,E022,registered,7
S076,E024,saved,4
S076,E017,registered,7
S076,E038,saved,4
S077,E040,saved,4
S077,E005,registered,7
S077,E031,viewed,1
S077,E057,viewed,1
S077,E013,viewed,1
S078,E055,viewed,1
S078,E010,saved,4
S078,E009,completed,10
S078,E013,saved,4
S078,E022,viewed,1
S079,E046,viewed,1
S079,E012,completed,10
S079,E050,viewed,1
S079,E006,viewed,1
S079,E032,saved,4
S080,E014,registered,7
S080,E049,saved,4
S080,E050,registered,7
S080,E011,viewed,1
S080,E037,saved,4
S081,E041,viewed,1
S081,E028,saved,4
S081,E026,registered,7
S081,E031,completed,10
S081,E025,registered,7
S082,E049,saved,4
S082,E054,saved,4
S082,E034,viewed,1
S082,E013,saved,4
S082,E002,viewed,1
S083,E009,viewed,1
S083,E007,viewed,1
S083,E025,viewed,1
S083,E033,completed,10
S083,E038,saved,4
S084,E034,saved,4
S084,E039,viewed,1
S084,E022,completed,10
S084,E028,saved,4
S084,E057,registered,7
S085,E011,viewed,1
S085,E059,registered,7
S085,E052,viewed,1
S085,E026,registered,7
S085,E002,saved,4
S086,E011,registered,7
S086,E008,viewed,1
S086,E024,saved,4
S086,E046,registered,7
S086,E042,saved,4
S087,E039,registered,7
S087,E004,viewed,1
S087,E043,viewed,1
S087,E007,viewed,1
S087,E042,viewed,1
S088,E017,saved,4
S088,E031,saved,4
S088,E045,viewed,1
S088,E010,saved,4
S088,E014,saved,4
S089,E018,viewed,1
S089,E040,registered,7
S089,E039,saved,4
S089,E045,saved,4
S089,E009,viewed,1
S090,E051,viewed,1
S090,E007,viewed,1
S090,E032,saved,4
S090,E013,viewed,1
S090,E039,registered,7
S091,E019,completed,10
S091,E011,saved,4
S091,E003,saved,4
S091,E036,viewed,1
S091,E032,viewed,1
S092,E006,saved,4
S092,E059,viewed,1
S092,E008,viewed,1
S092,E054,saved,4
S092,E037,registered,7
S093,E007,saved,4
S093,E058,completed,10
S093,E017,viewed,1
S093,E042,viewed,1
S093,E015,registered,7
S094,E056,registered,7
S094,E003,viewed,1
S094,E055,registered,7
S094,E019,viewed,1
S094,E024,registered,7
S095,E003,saved,4
S095,E001,viewed,1
S095,E055,registered,7
S095,E009,completed,10
S095,E043,viewed,1
S096,E047,viewed,1
S096,E006,viewed,1
S096,E024,completed,10
S096,E053,viewed,1
S096,E022,viewed,1
S097,E055,registered,7
S097,E031,viewed,1
S097,E052,viewed,1
S097,E027,registered,7
S097,E042,completed,10
S098,E055,saved,4
S098,E011,registered,7
S098,E007,saved,4
S098,E027,viewed,1
S098,E059,viewed,1
S099,E023,registered,7
S099,E040,registered,7
S099,E002,registered,7
S099,E056,saved,4
S099,E044,saved,4
S100,E057,viewed,1
S100,E027,viewed,1
S100,E029,registered,7
S100,E003,saved,4
S100,E005,registered,7
