project_id,student_id,project_name,description,technologies
P0261,S026,DevOps_Project_1,"Synthetic project demonstrating Linux, AWS, Kubernetes","Linux, AWS, Kubernetes"
P0262,S026,DevOps_Project_2,"Synthetic project demonstrating Docker, Linux, Kubernetes","Docker, Linux, Kubernetes"
P0271,S027,Full_Project_1,"Synthetic project demonstrating JavaScript, React, Node.js","JavaScript, React, Node.js"
P0272,S027,Full_Project_2,"Synthetic project demonstrating PostgreSQL, Node.js, JavaScript","PostgreSQL, Node.js, JavaScript"
P0281,S028,Machine_Project_1,"Synthetic project demonstrating Pandas, PyTorch, Python","Pandas, PyTorch, Python"
P0282,S028,Machine_Project_2,"Synthetic project demonstrating Pandas, PyTorch, Scikit-learn","Pandas, PyTorch, Scikit-learn"
P0291,S029,Data_Project_1,"Synthetic project demonstrating SQL, Pandas, Python","SQL, Pandas, Python"
P0292,S029,Data_Project_2,"Synthetic project demonstrating SQL, Pandas, Python","SQL, Pandas, Python"
P0301,S030,Data_Project_1,"Synthetic project demonstrating SQL, PostgreSQL, ETL","SQL, PostgreSQL, ETL"
P0302,S030,Data_Project_2,"Synthetic project demonstrating ETL, SQL, Python","ETL, SQL, Python"
P0311,S031,Machine_Project_1,"Synthetic project demonstrating Pandas, PyTorch, Scikit-learn","Pandas, PyTorch, Scikit-learn"
P0312,S031,Machine_Project_2,"Synthetic project demonstrating Scikit-learn, Python, Pandas","Scikit-learn, Python, Pandas"
P0321,S032,Full_Project_1,"Synthetic project demonstrating Node.js, JavaScript, PostgreSQL","Node.js, JavaScript, PostgreSQL"
P0322,S032,Full_Project_2,"Synthetic project demonstrating Node.js, JavaScript, PostgreSQL","Node.js, JavaScript, PostgreSQL"
P0331,S033,Cloud_Project_1,"Synthetic project demonstrating Python, Docker, Linux","Python, Docker, Linux"
P0332,S033,Cloud_Project_2,"Synthetic project demonstrating AWS, Python, Linux","AWS, Python, Linux"
P0341,S034,Machine_Project_1,"Synthetic project demonstrating Python, Pandas, Scikit-learn","Python, Pandas, Scikit-learn"
P0342,S034,Machine_Project_2,"Synthetic project demonstrating Scikit-learn, Pandas, Python","Scikit-learn, Pandas, Python"
P0351,S035,Data_Project_1,"Synthetic project demonstrating SQL, Python, Scikit-learn","SQL, Python, Scikit-learn"
P0352,S035,Data_Project_2,"Synthetic project demonstrating Scikit-learn, SQL, Python","Scikit-learn, SQL, Python"
P0361,S036,DevOps_Project_1,"Synthetic project demonstrating AWS, Docker, Kubernetes","AWS, Docker, Kubernetes"
P0362,S036,DevOps_Project_2,"Synthetic project demonstrating AWS, Linux, Kubernetes","AWS, Linux, Kubernetes"
P0371,S037,DevOps_Project_1,"Synthetic project demonstrating AWS, Kubernetes, Docker","AWS, Kubernetes, Docker"
P0372,S037,DevOps_Project_2,"Synthetic project demonstrating Linux, Docker, Kubernetes","Linux, Docker, Kubernetes"
P0381,S038,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Linux, Docker","Kubernetes, Linux, Docker"
P0382,S038,DevOps_Project_2,"Synthetic project demonstrating Linux, Kubernetes, Docker","Linux, Kubernetes, Docker"
P0391,S039,DevOps_Project_1,"Synthetic project demonstrating Linux, Kubernetes, AWS","Linux, Kubernetes, AWS"
P0392,S039,DevOps_Project_2,"Synthetic project demonstrating Docker, AWS, Linux","Docker, AWS, Linux"
P0401,S040,DevOps_Project_1,"Synthetic project demonstrating AWS, Linux, Kubernetes","AWS, Linux, Kubernetes"
P0402,S040,DevOps_Project_2,"Synthetic project demonstrating Linux, Docker, Kubernetes","Linux, Docker, Kubernetes"
P0411,S041,Cybersecurity_Project_1,"Synthetic project demonstrating Networking, Ethical Hacking, Linux","Networking, Ethical Hacking, Linux"
P0412,S041,Cybersecurity_Project_2,"Synthetic project demonstrating Cloud Security, Linux, Networking","Cloud Security, Linux, Networking"
P0421,S042,AI_Project_1,"Synthetic project demonstrating TensorFlow, LLMs, Python","TensorFlow, LLMs, Python"
P0422,S042,AI_Project_2,"Synthetic project demonstrating Python, TensorFlow, OpenCV","Python, TensorFlow, OpenCV"
P0431,S043,Cybersecurity_Project_1,"Synthetic project demonstrating Linux, Ethical Hacking, Cloud Security","Linux, Ethical Hacking, Cloud Security"
P0432,S043,Cybersecurity_Project_2,"Synthetic project demonstrating Cloud Security, Linux, Networking","Cloud Security, Linux, Networking"
P0441,S044,AI_Project_1,"Synthetic project demonstrating TensorFlow, LLMs, Python","TensorFlow, LLMs, Python"
P0442,S044,AI_Project_2,"Synthetic project demonstrating TensorFlow, LLMs, OpenCV","TensorFlow, LLMs, OpenCV"
P0451,S045,Data_Project_1,"Synthetic project demonstrating ETL, Python, PostgreSQL","ETL, Python, PostgreSQL"
P0452,S045,Data_Project_2,"Synthetic project demonstrating ETL, PostgreSQL, SQL","ETL, PostgreSQL, SQL"
P0461,S046,Cloud_Project_1,"Synthetic project demonstrating Docker, Linux, Python","Docker, Linux, Python"
P0462,S046,Cloud_Project_2,"Synthetic project demonstrating Python, Docker, Linux","Python, Docker, Linux"
P0471,S047,Cloud_Project_1,"Synthetic project demonstrating Docker, AWS, Linux","Docker, AWS, Linux"
P0472,S047,Cloud_Project_2,"Synthetic project demonstrating Docker, Python, AWS","Docker, Python, AWS"
P0481,S048,Machine_Project_1,"Synthetic project demonstrating Pandas, Scikit-learn, PyTorch","Pandas, Scikit-learn, PyTorch"
P0482,S048,Machine_Project_2,"Synthetic project demonstrating Python, Scikit-learn, Pandas","Python, Scikit-learn, Pandas"
P0491,S049,Data_Project_1,"Synthetic project demonstrating SQL, PostgreSQL, Python","SQL, PostgreSQL, Python"
P0492,S049,Data_Project_2,"Synthetic project demonstrating ETL, SQL, PostgreSQL","ETL, SQL, PostgreSQL"
P0501,S050,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Linux, Docker","Kubernetes, Linux, Docker"
P0502,S050,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, Linux, AWS","Kubernetes, Linux, AWS"
P0511,S051,Data_Project_1,"Synthetic project demonstrating SQL, PostgreSQL, Python","SQL, PostgreSQL, Python"
P0512,S051,Data_Project_2,"Synthetic project demonstrating PostgreSQL, Python, ETL","PostgreSQL, Python, ETL"
P0521,S052,Cloud_Project_1,"Synthetic project demonstrating Python, AWS, Docker","Python, AWS, Docker"
P0522,S052,Cloud_Project_2,"Synthetic project demonstrating Docker, Linux, Python","Docker, Linux, Python"
P0531,S053,Data_Project_1,"Synthetic project demonstrating Python, SQL, ETL","Python, SQL, ETL"
P0532,S053,Data_Project_2,"Synthetic project demonstrating Python, ETL, SQL","Python, ETL, SQL"
P0541,S054,Cybersecurity_Project_1,"Synthetic project demonstrating Cloud Security, Networking, Linux","Cloud Security, Networking, Linux"
P0542,S054,Cybersecurity_Project_2,"Synthetic project demonstrating Ethical Hacking, Networking, Cloud Security","Ethical Hacking, Networking, Cloud Security"
P0551,S055,Cloud_Project_1,"Synthetic project demonstrating Python, AWS, Docker","Python, AWS, Docker"
P0552,S055,Cloud_Project_2,"Synthetic project demonstrating Linux, Docker, Python","Linux, Docker, Python"
P0561,S056,Cloud_Project_1,"Synthetic project demonstrating Linux, Docker, Python","Linux, Docker, Python"
P0562,S056,Cloud_Project_2,"Synthetic project demonstrating Docker, Python, Linux","Docker, Python, Linux"
P0571,S057,Cloud_Project_1,"Synthetic project demonstrating Linux, AWS, Docker","Linux, AWS, Docker"
P0572,S057,Cloud_Project_2,"Synthetic project demonstrating Docker, Python, AWS","Docker, Python, AWS"
P0581,S058,Cloud_Project_1,"Synthetic project demonstrating Python, AWS, Docker","Python, AWS, Docker"
P0582,S058,Cloud_Project_2,"Synthetic project demonstrating Python, AWS, Docker","Python, AWS, Docker"
P0591,S059,Cloud_Project_1,"Synthetic project demonstrating AWS, Python, Linux","AWS, Python, Linux"
P0592,S059,Cloud_Project_2,"Synthetic project demonstrating AWS, Docker, Linux","AWS, Docker, Linux"
P0601,S060,Machine_Project_1,"Synthetic project demonstrating Scikit-learn, Python, PyTorch","Scikit-learn, Python, PyTorch"
P0602,S060,Machine_Project_2,"Synthetic project demonstrating Scikit-learn, Python, PyTorch","Scikit-learn, Python, PyTorch"
P0611,S061,Machine_Project_1,"Synthetic project demonstrating PyTorch, Pandas, Scikit-learn","PyTorch, Pandas, Scikit-learn"
P0612,S061,Machine_Project_2,"Synthetic project demonstrating PyTorch, Python, Scikit-learn","PyTorch, Python, Scikit-learn"
P0621,S062,Data_Project_1,"Synthetic project demonstrating Scikit-learn, Python, Pandas","Scikit-learn, Python, Pandas"
P0622,S062,Data_Project_2,"Synthetic project demonstrating Python, Pandas, Scikit-learn","Python, Pandas, Scikit-learn"
P0631,S063,Cloud_Project_1,"Synthetic project demonstrating Linux, Docker, Python","Linux, Docker, Python"
P0632,S063,Cloud_Project_2,"Synthetic project demonstrating Linux, Docker, Python","Linux, Docker, Python"
P0641,S064,Cybersecurity_Project_1,"Synthetic project demonstrating Ethical Hacking, Networking, Cloud Security","Ethical Hacking, Networking, Cloud Security"
P0642,S064,Cybersecurity_Project_2,"Synthetic project demonstrating Cloud Security, Networking, Ethical Hacking","Cloud Security, Networking, Ethical Hacking"
P0651,S065,AI_Project_1,"Synthetic project demonstrating LLMs, Python, OpenCV","LLMs, Python, OpenCV"
P0652,S065,AI_Project_2,"Synthetic project demonstrating OpenCV, LLMs, TensorFlow","OpenCV, LLMs, TensorFlow"
P0661,S066,Cybersecurity_Project_1,"Synthetic project demonstrating Linux, Ethical Hacking, Cloud Security","Linux, Ethical Hacking, Cloud Security"
P0662,S066,Cybersecurity_Project_2,"Synthetic project demonstrating Ethical Hacking, Cloud Security, Linux","Ethical Hacking, Cloud Security, Linux"
P0671,S067,DevOps_Project_1,"Synthetic project demonstrating Docker, AWS, Kubernetes","Docker, AWS, Kubernetes"
P0672,S067,DevOps_Project_2,"Synthetic project demonstrating Docker, AWS, Kubernetes","Docker, AWS, Kubernetes"
P0681,S068,Data_Project_1,"Synthetic project demonstrating Python, ETL, SQL","Python, ETL, SQL"
P0682,S068,Data_Project_2,"Synthetic project demonstrating ETL, PostgreSQL, Python","ETL, PostgreSQL, Python"
P0691,S069,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Linux, AWS","Kubernetes, Linux, AWS"
P0692,S069,DevOps_Project_2,"Synthetic project demonstrating Linux, Docker, Kubernetes","Linux, Docker, Kubernetes"
P0701,S070,Data_Project_1,"Synthetic project demonstrating Python, SQL, Pandas","Python, SQL, Pandas"
P0702,S070,Data_Project_2,"Synthetic project demonstrating SQL, Python, Scikit-learn","SQL, Python, Scikit-learn"
P0711,S071,Data_Project_1,"Synthetic project demonstrating PostgreSQL, Python, ETL","PostgreSQL, Python, ETL"
P0712,S071,Data_Project_2,"Synthetic project demonstrating ETL, SQL, Python","ETL, SQL, Python"
P0721,S072,DevOps_Project_1,"Synthetic project demonstrating Docker, Kubernetes, AWS","Docker, Kubernetes, AWS"
P0722,S072,DevOps_Project_2,"Synthetic project demonstrating AWS, Kubernetes, Linux","AWS, Kubernetes, Linux"
P0731,S073,Data_Project_1,"Synthetic project demonstrating Scikit-learn, Python, Pandas","Scikit-learn, Python, Pandas"
P0732,S073,Data_Project_2,"Synthetic project demonstrating Scikit-learn, Python, Pandas","Scikit-learn, Python, Pandas"
P0741,S074,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Linux, AWS","Kubernetes, Linux, AWS"
P0742,S074,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, AWS, Docker","Kubernetes, AWS, Docker"
P0751,S075,Cloud_Project_1,"Synthetic project demonstrating Docker, Linux, Python","Docker, Linux, Python"
P0752,S075,Cloud_Project_2,"Synthetic project demonstrating Python, Linux, AWS","Python, Linux, AWS"
P0761,S076,AI_Project_1,"Synthetic project demonstrating OpenCV, TensorFlow, LLMs","OpenCV, TensorFlow, LLMs"
P0762,S076,AI_Project_2,"Synthetic project demonstrating OpenCV, Python, LLMs","OpenCV, Python, LLMs"
P0771,S077,AI_Project_1,"Synthetic project demonstrating LLMs, Python, TensorFlow","LLMs, Python, TensorFlow"
P0772,S077,AI_Project_2,"Synthetic project demonstrating Python, OpenCV, TensorFlow","Python, OpenCV, TensorFlow"
P0781,S078,Cybersecurity_Project_1,"Synthetic project demonstrating Networking, Ethical Hacking, Linux","Networking, Ethical Hacking, Linux"
P0782,S078,Cybersecurity_Project_2,"Synthetic project demonstrating Linux, Networking, Ethical Hacking","Linux, Networking, Ethical Hacking"
P0791,S079,Data_Project_1,"Synthetic project demonstrating ETL, PostgreSQL, Python","ETL, PostgreSQL, Python"
P0792,S079,Data_Project_2,"Synthetic project demonstrating Python, PostgreSQL, ETL","Python, PostgreSQL, ETL"
P0801,S080,Cloud_Project_1,"Synthetic project demonstrating AWS, Docker, Python","AWS, Docker, Python"
P0802,S080,Cloud_Project_2,"Synthetic project demonstrating AWS, Docker, Linux","AWS, Docker, Linux"
P0811,S081,AI_Project_1,"Synthetic project demonstrating LLMs, TensorFlow, OpenCV","LLMs, TensorFlow, OpenCV"
P0812,S081,AI_Project_2,"Synthetic project demonstrating Python, OpenCV, LLMs","Python, OpenCV, LLMs"
P0821,S082,Data_Project_1,"Synthetic project demonstrating Pandas, SQL, Python","Pandas, SQL, Python"
P0822,S082,Data_Project_2,"Synthetic project demonstrating Scikit-learn, Pandas, Python","Scikit-learn, Pandas, Python"
P0831,S083,Data_Project_1,"Synthetic project demonstrating Scikit-learn, Pandas, Python","Scikit-learn, Pandas, Python"
P0832,S083,Data_Project_2,"Synthetic project demonstrating Python, Pandas, Scikit-learn","Python, Pandas, Scikit-learn"
P0841,S084,Full_Project_1,"Synthetic project demonstrating JavaScript, React, PostgreSQL","JavaScript, React, PostgreSQL"
P0842,S084,Full_Project_2,"Synthetic project demonstrating React, PostgreSQL, Node.js","React, PostgreSQL, Node.js"
P0851,S085,Machine_Project_1,"Synthetic project demonstrating Python, Pandas, Scikit-learn","Python, Pandas, Scikit-learn"
P0852,S085,Machine_Project_2,"Synthetic project demonstrating PyTorch, Scikit-learn, Pandas","PyTorch, Scikit-learn, Pandas"
P0861,S086,Data_Project_1,"Synthetic project demonstrating PostgreSQL, SQL, Python","PostgreSQL, SQL, Python"
P0862,S086,Data_Project_2,"Synthetic project demonstrating PostgreSQL, SQL, Python","PostgreSQL, SQL, Python"
P0871,S087,DevOps_Project_1,"Synthetic project demonstrating Docker, Linux, AWS","Docker, Linux, AWS"
P0872,S087,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, Docker, Linux","Kubernetes, Docker, Linux"
P0881,S088,DevOps_Project_1,"Synthetic project demonstrating Docker, AWS, Kubernetes","Docker, AWS, Kubernetes"
P0882,S088,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, AWS, Docker","Kubernetes, AWS, Docker"
P0891,S089,Data_Project_1,"Synthetic project demonstrating Python, PostgreSQL, SQL","Python, PostgreSQL, SQL"
P0892,S089,Data_Project_2,"Synthetic project demonstrating ETL, SQL, Python","ETL, SQL, Python"
P0901,S090,Cloud_Project_1,"Synthetic project demonstrating AWS, Python, Docker","AWS, Python, Docker"
P0902,S090,Cloud_Project_2,"Synthetic project demonstrating AWS, Docker, Python","AWS, Docker, Python"
P0911,S091,AI_Project_1,"Synthetic project demonstrating OpenCV, LLMs, Python","OpenCV, LLMs, Python"
P0912,S091,AI_Project_2,"Synthetic project demonstrating Python, OpenCV, LLMs","Python, OpenCV, LLMs"
P0921,S092,AI_Project_1,"Synthetic project demonstrating LLMs, OpenCV, TensorFlow","LLMs, OpenCV, TensorFlow"
P0922,S092,AI_Project_2,"Synthetic project demonstrating TensorFlow, OpenCV, LLMs","TensorFlow, OpenCV, LLMs"
P0931,S093,Cloud_Project_1,"Synthetic project demonstrating Docker, Python, AWS","Docker, Python, AWS"
P0932,S093,Cloud_Project_2,"Synthetic project demonstrating Python, Linux, Docker","Python, Linux, Docker"
P0941,S094,Data_Project_1,"Synthetic project demonstrating SQL, Python, PostgreSQL","SQL, Python, PostgreSQL"
P0942,S094,Data_Project_2,"Synthetic project demonstrating ETL, SQL, Python","ETL, SQL, Python"
P0951,S095,DevOps_Project_1,"Synthetic project demonstrating Docker, Linux, Kubernetes","Docker, Linux, Kubernetes"
P0952,S095,DevOps_Project_2,"Synthetic project demonstrating AWS, Kubernetes, Docker","AWS, Kubernetes, Docker"
P0961,S096,Machine_Project_1,"Synthetic project demonstrating Pandas, Python, PyTorch","Pandas, Python, PyTorch"
P0962,S096,Machine_Project_2,"Synthetic project demonstrating PyTorch, Scikit-learn, Pandas","PyTorch, Scikit-learn, Pandas"
P0971,S097,Data_Project_1,"Synthetic project demonstrating Python, ETL, SQL","Python, ETL, SQL"
P0972,S097,Data_Project_2,"Synthetic project demonstrating Python, SQL, PostgreSQL","Python, SQL, PostgreSQL"
P0981,S098,Data_Project_1,"Synthetic project demonstrating Pandas, Scikit-learn, Python","Pandas, Scikit-learn, Python"
P0982,S098,Data_Project_2,"Synthetic project demonstrating Python, SQL, Pandas","Python, SQL, Pandas"
P0991,S099,Data_Project_1,"Synthetic project demonstrating SQL, Python, PostgreSQL","SQL, Python, PostgreSQL"
P0992,S099,Data_Project_2,"Synthetic project demonstrating Python, SQL, ETL","Python, SQL, ETL"
P1001,S100,Full_Project_1,"Synthetic project demonstrating Node.js, JavaScript, PostgreSQL","Node.js, JavaScript, PostgreSQL"
P1002,S100,Full_Project_2,"Synthetic project demonstrating PostgreSQL, React, Node.js","PostgreSQL, React, Node.js"
